department,gender,id,job,name,id_pelicula
Directing,1.0,55439.0,Director,Patricia Rozema,8391
Directing,2.0,9032.0,Director,Bryan Singer,629
Directing,2.0,100505.0,Director,Richard W. Munchkin,117164
Directing,2.0,1243.0,Director,Woody Allen,11448
Directing,2.0,128107.0,Director,Gianni Amelio,49133
Directing,1.0,71338.0,Director,Holly Goldberg Sloan,26441
Directing,2.0,140354.0,Director,Ulu Grosbard,97406
Directing,2.0,30586.0,Director,Robert Tinnell,124057
Directing,1.0,1038.0,Director,Jodie Foster,9089
Directing,2.0,28898.0,Director,Michael Radford,11010
Directing,2.0,38527.0,Director,Robert Lepage,99040
Directing,2.0,7908.0,Director,Frank Oz,11359
Directing,2.0,19304.0,Director,John Schlesinger,17182
Directing,2.0,18356.0,Director,Stephen Herek,2054
Directing,2.0,45649.0,Director,Paris Barclay,10607
Directing,2.0,49361.0,Director,Bill Bennett,19760
Directing,2.0,57870.0,Director,Jason Bloom,9536
Directing,2.0,69721.0,Director,Farhad Mann,11525
Directing,2.0,15890.0,Director,James Foley,40628
Directing,1.0,35137.0,Director,Josiane Balasko,4482
Directing,2.0,37932.0,Director,F. Gary Gray,10634
Directing,2.0,2294.0,Director,Robert Rodriguez,755
Directing,2.0,70850.0,Director,Andrew Sipes,11859
Directing,2.0,5656.0,Director,Noah Baumbach,28387
Directing,2.0,16862.0,Director,Claude Lelouch,48750
Directing,2.0,10296.0,Director,Michael Goldenberg,20927
Directing,2.0,58712.0,Director,Steve Miner,36929
Directing,2.0,25735.0,Director,Christian Duguay,9102
Directing,0.0,1080309.0,Director,Susanne Ofteringer,124626
Directing,2.0,2228.0,Director,Sean Penn,27526
Directing,2.0,18069.0,Director,Brian Gibson,9623
Directing,2.0,120229.0,Director,Jafar Panahi,46785
Directing,2.0,5501.0,Director,Gary Fleder,400
Directing,0.0,13496.0,Director,Marleen Gorris,880
Directing,2.0,27771.0,Director,Tim Reid,146599
Directing,2.0,117075.0,Director,Henry Jaglom,188588
Directing,0.0,55038.0,Director,Philip Haas,8447
Directing,2.0,578.0,Director,Ridley Scott,10534
Directing,0.0,29009.0,Director,Ken Kwapis,17414
Directing,0.0,58448.0,Director,Penelope Spheeris,13997
Directing,2.0,12840.0,Director,John Badham,2086
Directing,2.0,72624.0,Director,John Duigan,61548
Directing,0.0,3224.0,Director,Stephen Frears,9095
Directing,2.0,5140.0,Director,Wes Craven,12158
Directing,2.0,34849.0,Director,Ted Demme,9283
Directing,2.0,11401.0,Director,John Woo,9208
Directing,2.0,11181.0,Director,Kenneth Branagh,40154
Directing,2.0,2406.0,Director,Mathieu Kassovitz,406
Directing,2.0,4014.0,Director,Paul W.S. Anderson,45549
Directing,2.0,92561.0,Director,Nick Broomfield,63076
Directing,2.0,23213.0,Director,Harold Becker,11062
Directing,2.0,5655.0,Director,Wes Anderson,13685
Directing,2.0,14692.0,Director,Nick Castle,47475
Directing,2.0,21053.0,Director,John Dahl,2045
Directing,2.0,17494.0,Director,Dennis Dugan,9614
Directing,2.0,190.0,Director,Clint Eastwood,688
Directing,1.0,18969.0,Director,Doris Dörrie,11907
Directing,2.0,65298.0,Director,Brian Henson,10874
Directing,0.0,64077.0,Director,Robert Leacock,89333
Directing,0.0,1234226.0,Director,James Bruce,96357
Directing,2.0,2461.0,Director,Mel Gibson,197
Directing,2.0,1032.0,Director,Martin Scorsese,103
Directing,2.0,44916.0,Director,Stanley Tong,33542
Directing,2.0,23393.0,Director,Barbet Schroeder,43566
Directing,2.0,184475.0,Director,Mort Ransen,71754
Directing,2.0,20849.0,Director,Étienne Chatiliez,43612
Directing,0.0,82293.0,Director,Jon Blair,51352
Directing,0.0,81020.0,Director,Benjamin Ross,16934
Directing,2.0,68185.0,Director,Eric Schaeffer,10324
Directing,2.0,12989.0,Director,Andrew Davis,78406
Directing,2.0,36147.0,Director,Charles T. Kanganis,55731
Directing,2.0,60295.0,Director,John N. Smith,32119
Directing,2.0,68215.0,Director,Reginald Hudlin,11066
Directing,2.0,12453.0,Director,Wong Kar-wai,11104
Directing,0.0,65314.0,Director,Giuseppe Tornatore,37975
Directing,2.0,17883.0,Director,David O. Russell,2074
Directing,2.0,16589.0,Director,Peter MacDonald,27793
Directing,0.0,239321.0,Director,Moufida Tlatli,44284
Directing,0.0,93632.0,Director,Michel Negroponte,290157
Directing,2.0,122583.0,Director,Bryan Gordon,110972
Directing,1.0,41670.0,Director,Rebecca Miller,32622
Directing,2.0,125543.0,Director,Michael Lindsay-Hogg,73067
Directing,0.0,15175.0,Director,William Friedkin,11863
Directing,2.0,114997.0,Director,Ángel Muñiz,55475
Directing,0.0,84445.0,Director,Craig Baldwin,124636
Directing,2.0,12920.0,Director,David S. Ward,9101
Directing,0.0,1077999.0,Director,Mark Rappaport,123360
Directing,2.0,45382.0,Director,Dirk Shafer,5757
Directing,2.0,93911.0,Director,Terence Davies,39428
Directing,0.0,1080311.0,Director,Sandip Ray,124639
Directing,2.0,18250.0,Director,Jon Avnet,9302
Directing,2.0,5342.0,Director,Mike Nichols,11000
Directing,0.0,1285121.0,Director,Jakov Sedlar,249882
Directing,2.0,12833.0,Director,Edward Burns,16388
Directing,2.0,865.0,Director,Michael Bay,9737
Directing,2.0,56828.0,Director,Christopher Cain,30765
Directing,2.0,65390.0,Director,Scott Kalvert,10474
Directing,2.0,10723.0,Director,Mike Newell,22279
Directing,2.0,91343.0,Director,Hal Hartley,30157
Directing,2.0,6159.0,Director,Ron Howard,568
Directing,2.0,30365.0,Director,Michael Caton-Jones,11780
Directing,2.0,39104.0,Director,Abel Ferrara,34996
Directing,2.0,5572.0,Director,Joel Schumacher,414
Directing,2.0,793.0,Director,Luis Buñuel,649
Directing,2.0,19665.0,Director,John Boorman,1873
Directing,2.0,46391.0,Director,Paul Auster,5894
Directing,0.0,39819.0,Director,Wayne Wang,5894
Directing,2.0,17087.0,Director,Michael Moore,1775
Directing,0.0,11887.0,Director,Brad Silberling,8839
Directing,2.0,5281.0,Director,Spike Lee,20649
Directing,2.0,664.0,Director,Frank Marshall,10329
Directing,2.0,893.0,Director,Tony Scott,8963
Directing,0.0,17447.0,Director,Terry Zwigoff,26564
Directing,2.0,2294.0,Director,Robert Rodriguez,8068
Directing,0.0,21712.0,Director,Carl Franklin,8512
Directing,2.0,1090.0,Director,John McTiernan,1572
Directing,2.0,19224.0,Director,Gregg Araki,13552
Directing,2.0,68774.0,Director,Christopher Menaul,259209
Directing,2.0,3415.0,Director,Jerry Zucker,6520
Directing,0.0,56998.0,Director,Dwight H. Little,9073
Directing,2.0,1978.0,Director,Iain Softley,10428
Directing,2.0,252806.0,Director,Christopher Ashley,17447
Directing,2.0,59997.0,Director,Robert Longo,9886
Directing,2.0,33279.0,Director,Danny Cannon,9482
Directing,2.0,58316.0,Director,John Fortenberry,19326
Directing,2.0,51917.0,Director,Larry Clark,9344
Directing,2.0,6400.0,Director,Tom DiCillo,9071
Directing,2.0,31211.0,Director,Clive Barker,8973
Directing,2.0,38516.0,Director,Denys Arcand,15730
Directing,1.0,42617.0,Director,Antonia Bird,47608
Directing,2.0,19303.0,Director,Kevin Smith,2293
Directing,2.0,42111.0,Director,Bryan Spicer,9070
Directing,2.0,44847.0,Director,David Anspaugh,68274
Directing,2.0,58384.0,Director,Anthony Waller,48787
Directing,2.0,54469.0,Director,Michael Almereyda,34574
Directing,2.0,11472.0,Director,Irwin Winkler,1642
Directing,2.0,10965.0,Director,Chris Columbus,11472
Directing,1.0,56714.0,Director,Daisy von Scherler Mayer,36196
Directing,2.0,28902.0,Director,Gregory Widen,11980
Directing,2.0,26487.0,Director,Norman René,58372
Directing,2.0,16863.0,Director,Todd Haynes,32646
Directing,0.0,8965.0,Director,Roland Joffé,10533
Directing,2.0,10491.0,Director,Paul Verhoeven,10802
Directing,0.0,39819.0,Director,Wayne Wang,10149
Directing,2.0,46391.0,Director,Paul Auster,10149
Directing,2.0,5306.0,Director,Lasse Hallström,18402
Directing,2.0,21370.0,Director,Roger Donaldson,9348
Directing,2.0,408.0,Director,James Keach,139408
Directing,1.0,14392.0,Director,Kathryn Bigelow,281
Directing,0.0,24882.0,Director,Jacques Demy,5967
Directing,2.0,17880.0,Director,Wesley Strick,79593
Directing,1.0,63713.0,Director,Martha Coolidge,47939
Directing,1.0,1128.0,Director,Agnieszka Holland,36834
Directing,1.0,20237.0,Director,Beeban Kidron,9090
Directing,2.0,32277.0,Director,Geoff Murphy,3512
Directing,1.0,3092.0,Director,Diane Keaton,52856
Directing,2.0,588623.0,Director,Douglas Keeve,77350
Directing,2.0,22767.0,Director,Alfonso Aráu,9560
Directing,0.0,8300.0,Director,Kevin Reynolds,9804
Directing,0.0,73494.0,Director,Desmond Nakano,31611
Directing,2.0,1723.0,Director,Walter Hill,65796
Directing,2.0,6111.0,Director,Mike Figgis,49805
Directing,2.0,17309.0,Director,Greg Beeman,26258
Directing,2.0,82796.0,Director,Nikita Mikhalkov,50797
Directing,0.0,1364800.0,Director,Milčo Mančevski,19155
Directing,2.0,564.0,Director,Richard Linklater,76
Directing,1.0,57691.0,Director,Tamra Davis,11017
Directing,2.0,43468.0,Director,Guy Ferland,37141
Directing,0.0,18378.0,Director,Herbert Ross,9382
Directing,2.0,44990.0,Director,Peter Horton,6715
Directing,2.0,27991.0,Director,Stuart Gordon,18256
Directing,2.0,19969.0,Director,Pat O'Connor,22625
Directing,2.0,19303.0,Director,Kevin Smith,2292
Directing,2.0,25210.0,Director,Jeremy Leven,1909
Directing,2.0,8246.0,Director,Barry Levinson,8984
Directing,0.0,225065.0,Director,René Bonnière,61813
Directing,2.0,12840.0,Director,John Badham,4954
Directing,2.0,58154.0,Director,Jack Baran,62488
Directing,2.0,3556.0,Director,Roman Polanski,10531
Directing,0.0,18596.0,Director,Taylor Hackford,11929
Directing,2.0,7396.0,Director,Peter Farrelly,8467
Directing,2.0,7395.0,Director,Bobby Farrelly,8467
Directing,2.0,1614.0,Director,Ang Lee,10451
Directing,2.0,56205.0,Director,Atom Egoyan,20156
Directing,2.0,1201.0,Director,Garry Marshall,18395
Directing,2.0,510.0,Director,Tim Burton,522
Directing,2.0,8844.0,Director,Lawrence Kasdan,397
Directing,2.0,7904.0,Director,Billy Crystal,10525
Directing,0.0,148119.0,Director,Phillip Borsos,27985
Directing,2.0,15775.0,Director,Kevin Lima,15789
Directing,0.0,56147.0,Director,Paul Brizzi,15789
Directing,0.0,57090.0,Director,Brett Leonard,27303
Directing,2.0,87695.0,Director,Carlo Carlei,21183
Directing,0.0,67794.0,Director,Gérard Corbiau,10954
Directing,0.0,1566166.0,Director,Mark Lewis,47867
Directing,0.0,129534.0,Director,Art Clokey,43475
Directing,2.0,97755.0,Director,Charles Burnett,72031
Directing,2.0,122449.0,Director,Steve James,14275
Directing,2.0,108.0,Director,Peter Jackson,1024
Directing,2.0,77121.0,Director,Randall Miller,17207
Directing,2.0,57851.0,Director,Bernard Rose,13701
Directing,2.0,32593.0,Director,Steven Brill,14819
Directing,2.0,1203.0,Director,J. F. Lawton,32631
Directing,2.0,64061.0,Director,Fred Schepisi,11777
Directing,0.0,17016.0,Director,Neil Jordan,628
Directing,2.0,54441.0,Director,James Ivory,87729
Directing,0.0,73668.0,Director,James Melkonian,18713
Directing,2.0,8858.0,Director,Ivan Reitman,6280
Directing,0.0,56872.0,Director,Arne Glimcher,9061
Directing,2.0,62043.0,Director,Michael Gottlieb,37108
Directing,2.0,23393.0,Director,Barbet Schroeder,6071
Directing,2.0,1.0,Director,George Lucas,11
Directing,1.0,58094.0,Director,Gillian Armstrong,9587
Directing,2.0,11218.0,Director,Alfonso Cuarón,19101
Directing,2.0,15488.0,Director,Ken Loach,49980
Directing,0.0,19069.0,Director,Claude Chabrol,17961
Directing,2.0,22767.0,Director,Alfonso Aráu,18183
Directing,2.0,9181.0,Director,Edward Zwick,4476
Directing,2.0,14692.0,Director,Nick Castle,11008
Directing,2.0,20561.0,Director,James Gray,47504
Directing,1.0,3110.0,Director,Allison Anders,32325
Directing,2.0,58463.0,Director,Glenn Gordon Caron,43742
Directing,2.0,15912.0,Director,Stephen Gyllenhaal,28313
Directing,2.0,55476.0,Director,Nicholas Hytner,11318
Directing,2.0,11181.0,Director,Kenneth Branagh,3036
Directing,2.0,27444.0,Director,James Orr,40490
Directing,0.0,9248.0,Director,Nora Ephron,24070
Directing,2.0,24318.0,Director,Richard Benjamin,8986
Directing,0.0,56911.0,Director,Les Mayfield,10510
Directing,2.0,5065.0,Director,David Frankel,17402
Directing,2.0,16395.0,Director,Gregory Nava,38722
Directing,2.0,54971.0,Director,Marc Rocco,8438
Directing,2.0,6729.0,Director,Robert Benton,11593
Directing,2.0,10781.0,Director,Michael Apted,1945
Directing,2.0,17278.0,Director,Nick Gomez,39310
Directing,2.0,129957.0,Director,Tōru Murakawa,109560
Directing,2.0,70905.0,Director,Vadim Jean,56428
Directing,2.0,63937.0,Director,Albert Pyun,63105
Directing,2.0,131792.0,Director,Alan Jacobs,131957
Directing,2.0,1152.0,Director,Oliver Stone,241
Directing,2.0,13563.0,Director,Norman Jewison,9058
Directing,2.0,7256.0,Director,Lee Tamahori,527
Directing,1.0,2873.0,Director,Anne Goursaud,18220
Directing,2.0,5231.0,Director,Wolfgang Petersen,6950
Directing,2.0,59.0,Director,Luc Besson,101
Directing,1.0,6495.0,Director,Mira Nair,63020
Directing,2.0,23757.0,Director,Joshua Brand,2307
Directing,2.0,138.0,Director,Quentin Tarantino,680
Directing,2.0,16214.0,Director,Mario Van Peebles,41478
Directing,2.0,1614.0,Director,Ang Lee,25296
Directing,1.0,42617.0,Director,Antonia Bird,40156
Directing,2.0,4135.0,Director,Robert Redford,11450
Directing,0.0,994323.0,Director,Kayo Hatta,30304
Directing,2.0,23724.0,Director,Patrice Chéreau,10452
Directing,2.0,7623.0,Director,Sam Raimi,12106
Directing,2.0,12804.0,Director,Peter Yates,161495
Directing,2.0,9789.0,Director,Robert Altman,3586
Directing,2.0,1126.0,Director,Krzysztof Kieślowski,110
Directing,2.0,1126.0,Director,Krzysztof Kieślowski,108
Directing,2.0,1126.0,Director,Krzysztof Kieślowski,109
Directing,2.0,77305.0,Director,He Ping,159185
Directing,2.0,45642.0,Director,Fred Gerber,36357
Directing,2.0,133793.0,Director,George Mihalka,92769
Directing,2.0,1524.0,Director,Harold Ramis,28033
Directing,2.0,107274.0,Director,Richard Rich,22586
Directing,2.0,102445.0,Director,John Sayles,14334
Directing,2.0,26648.0,Director,Luis Llosa,2636
Directing,2.0,6046.0,Director,Roland Emmerich,2164
Directing,2.0,58072.0,Director,John Pasquin,11395
Directing,2.0,4027.0,Director,Frank Darabont,278
Directing,2.0,2034.0,Director,Danny Boyle,9905
Directing,2.0,101444.0,Director,Scott McGehee,87078
Directing,2.0,101446.0,Director,David Siegel,87078
Directing,0.0,72646.0,Director,Tomás Gutiérrez Alea,12527
Directing,2.0,72647.0,Director,Juan Carlos Tabío,12527
Directing,2.0,57028.0,Director,George Huang,20306
Directing,2.0,91499.0,Director,Kevin Dowling,36614
Directing,2.0,72629.0,Director,Geoff Burton,36614
Directing,2.0,64030.0,Director,Kelly Makin,27993
Directing,2.0,607.0,Director,Zhang Yimou,31439
Directing,1.0,56891.0,Director,Rachel Talalay,9067
Directing,2.0,15521.0,Director,Ernest R. Dickerson,9059
Directing,2.0,2380.0,Director,David Carson,193
Directing,2.0,141825.0,Director,Rusty Cundieff,25066
Directing,2.0,58080.0,Director,Brian Gilbert,46797
Directing,2.0,11770.0,Director,John Carpenter,12122
Directing,2.0,13426.0,Director,Peter Segal,11381
Directing,2.0,15389.0,Director,Louis Malle,32636
Directing,2.0,1884.0,Director,Steven Soderbergh,36141
Directing,2.0,76705.0,Director,Preston A. Whitmore II,95963
Directing,2.0,5306.0,Director,Lasse Hallström,1587
Directing,0.0,57090.0,Director,Brett Leonard,9271
Directing,2.0,12962.0,Director,Jon Turteltaub,2064
Directing,2.0,18250.0,Director,Jon Avnet,19855
Directing,0.0,1230367.0,Director,Mina Shum,60855
Directing,2.0,3045.0,Director,P.J. Hogan,236
Directing,1.0,83313.0,Director,Melanie Mayron,48287
Directing,2.0,4499.0,Director,Tom Shadyac,3049
Directing,2.0,27889.0,Director,Stephan Elliott,2759
Directing,2.0,1978.0,Director,Iain Softley,12635
Directing,2.0,3556.0,Director,Roman Polanski,10497
Directing,2.0,1243.0,Director,Woody Allen,11382
Directing,2.0,13015.0,Director,Phillip Noyce,9331
Directing,2.0,5572.0,Director,Joel Schumacher,10731
Directing,1.0,16853.0,Director,Jessie Nelson,10464
Directing,2.0,5281.0,Director,Spike Lee,34152
Directing,2.0,21085.0,Director,Alex Proyas,9495
Directing,2.0,4037.0,Director,Ron Shelton,29973
Directing,2.0,13581.0,Director,Brian Levant,888
Directing,2.0,24.0,Director,Robert Zemeckis,13
Directing,2.0,10723.0,Director,Mike Newell,712
Directing,2.0,6482.0,Director,John Singleton,16295
Directing,1.0,81727.0,Director,Darnell Martin,48992
Directing,2.0,56106.0,Director,Charles Shyer,10879
Directing,0.0,41550.0,Director,Andrew Bergman,10660
Directing,2.0,7775.0,Director,Stephen Sommers,10714
Directing,0.0,226963.0,Director,Ray Müller,41647
Directing,2.0,15812.0,Director,Roger Allers,8587
Directing,2.0,18898.0,Director,Rob Minkoff,8587
Directing,2.0,4956.0,Director,Bernardo Bertolucci,1689
Directing,2.0,5140.0,Director,Wes Craven,11596
Directing,2.0,26713.0,Director,Chuck Russell,854
Directing,2.0,7187.0,Director,Richard Donner,9359
Directing,2.0,72427.0,Director,Alan Rudolph,23333
Directing,2.0,13426.0,Director,Peter Segal,36593
Directing,2.0,6159.0,Director,Ron Howard,12280
Directing,2.0,7399.0,Director,Ben Stiller,2788
Directing,2.0,21053.0,Director,John Dahl,10427
Directing,2.0,18281.0,Director,Donald Petrie,11011
Directing,2.0,83588.0,Director,Robert Allan Ackerman,49803
Directing,2.0,323.0,Director,Curtis Hanson,8987
Directing,2.0,2209.0,Director,Jan de Bont,1637
Directing,2.0,33485.0,Director,Ron Underwood,15128
Directing,2.0,37710.0,Director,Peter Hyams,8831
Directing,2.0,2710.0,Director,James Cameron,36955
Directing,0.0,46085.0,Director,Luis Mandoki,10449
Directing,2.0,5342.0,Director,Mike Nichols,10395
Directing,2.0,8844.0,Director,Lawrence Kasdan,12160
Directing,2.0,42301.0,Director,Damian Harris,40480
Directing,2.0,158634.0,Director,Suri Krishnamma,52038
Directing,2.0,72125.0,Director,Jefery Levy,29444
Directing,2.0,35689.0,Director,Keenen Ivory Wayans,26352
Directing,2.0,133183.0,Director,Robert Lee King,39953
Directing,2.0,1066114.0,Director,Brian Sloan,39953
Directing,0.0,1087439.0,Director,Raoul O'Connell,39953
Directing,0.0,234793.0,Director,Yves Angelo,41580
Directing,0.0,4590.0,Director,Russ Meyer,315
Directing,2.0,67896.0,Director,Doug McHenry,22067
Directing,2.0,80537.0,Director,Dave Borthwick,18242
Directing,2.0,1726.0,Director,Steven E. de Souza,11667
Directing,2.0,486.0,Director,Wallace Wolodarsky,32502
Directing,2.0,126837.0,Director,Michael A. Nickles,267188
Directing,2.0,1142481.0,Director,Paul Warner,28732
Directing,0.0,532207.0,Director,Vincent Robert,75555
Directing,2.0,129216.0,Director,Theodore Thomas,42981
Directing,0.0,1382436.0,Director,Lucas Platt,278939
Directing,0.0,1385254.0,Director,Ross Kagan Marks,291731
Directing,0.0,220152.0,Director,Paul Williams,226229
Directing,2.0,4040.0,Director,Robert Wuhl,203119
Directing,2.0,16401.0,Director,Roberto Sneider,172923
Directing,0.0,223910.0,Director,Jack Baxter,316098
Directing,0.0,1410160.0,Director,Jefri Aalmuhammed,316098
Directing,2.0,53599.0,Director,Andrew Morahan,8011
Directing,2.0,77076.0,Director,Michael Corrente,171857
Directing,2.0,11770.0,Director,John Carpenter,2654
Directing,2.0,16513.0,Director,John G. Avildsen,18069
Directing,2.0,88060.0,Director,Jeff Pollack,19092
Directing,2.0,5174.0,Director,Barry Sonnenfeld,2758
Directing,2.0,15106.0,Director,Thomas Schlamme,38129
Directing,2.0,1032.0,Director,Martin Scorsese,10436
Directing,2.0,7145.0,Director,Michael Lehmann,13595
Directing,2.0,12988.0,Director,Paul Michael Glaser,46094
Directing,2.0,12840.0,Director,John Badham,9409
Directing,2.0,42171.0,Director,Jonathan Kaplan,11853
Directing,2.0,78188.0,Director,Whit Stillman,16771
Directing,2.0,68687.0,Director,Bill Forsyth,46924
Directing,0.0,58448.0,Director,Penelope Spheeris,11041
Directing,2.0,4610.0,Director,John Landis,306
Directing,1.0,1901.0,Director,Caroline Thompson,14522
Directing,2.0,10781.0,Director,Michael Apted,26203
Directing,2.0,2042.0,Director,Stephen Hopkins,178
Directing,0.0,15175.0,Director,William Friedkin,19819
Directing,2.0,32765.0,Director,Tony Richardson,57834
Directing,2.0,39104.0,Director,Abel Ferrara,4722
Directing,1.0,14800.0,Director,Jennifer Chambers Lynch,18215
Directing,2.0,380.0,Director,Robert De Niro,1607
Directing,2.0,57107.0,Director,Adam Resnick,26391
Directing,2.0,61175.0,Director,John Whitesell,117553
Directing,2.0,1150.0,Director,Brian De Palma,6075
Directing,2.0,66548.0,Director,Paul Weiland,11310
Directing,2.0,8843.0,Director,Mick Jackson,18658
Directing,2.0,16938.0,Director,Renny Harlin,9350
Directing,2.0,18308.0,Director,Steve Barron,9612
Directing,2.0,21806.0,Director,Richard Rush,2124
Directing,2.0,12964.0,Director,Michael Ritchie,26261
Directing,2.0,27236.0,Director,Gregg Champion,19176
Directing,2.0,39104.0,Director,Abel Ferrara,49299
Directing,2.0,8858.0,Director,Ivan Reitman,11566
Directing,2.0,564.0,Director,Richard Linklater,9571
Directing,2.0,58838.0,Director,Marco Brambilla,9739
Directing,2.0,86.0,Director,Bruce Brown,24257
Directing,2.0,5216.0,Director,Gus Van Sant,34444
Directing,2.0,1895.0,Director,Carl Reiner,26141
Directing,2.0,20640.0,Director,Chen Kaige,10997
Directing,2.0,18281.0,Director,Donald Petrie,50463
Directing,2.0,2690.0,Director,Peter Weir,10443
Directing,2.0,141825.0,Director,Rusty Cundieff,20239
Directing,2.0,50949.0,Director,Alek Keshishian,16297
Directing,2.0,10967.0,Director,Steve Kloves,18551
Directing,2.0,17784.0,Director,John Irvin,25440
Directing,2.0,5174.0,Director,Barry Sonnenfeld,9024
Directing,2.0,2226.0,Director,Sydney Pollack,37233
Directing,0.0,18254.0,Director,Simon Wincer,1634
Directing,2.0,52358.0,Director,Boaz Yakin,13815
Directing,2.0,12989.0,Director,Andrew Davis,5503
Directing,2.0,1723.0,Director,Walter Hill,35588
Directing,2.0,21370.0,Director,Roger Donaldson,2087
Directing,2.0,26502.0,Director,Howard Deutch,41579
Directing,1.0,172993.0,Director,Rose Troche,18620
Directing,2.0,5696.0,Director,Bruce Beresford,41006
Directing,2.0,39996.0,Director,Sidney Lumet,4916
Directing,2.0,11401.0,Director,John Woo,2019
Directing,2.0,1152.0,Director,Oliver Stone,31642
Directing,2.0,12936.0,Director,Jim Abrahams,9255
Directing,0.0,94996.0,Director,Julianna Lavin,26271
Directing,2.0,65859.0,Director,Christopher Monger,10612
Directing,2.0,19684.0,Director,Bille August,2259
Directing,2.0,77733.0,Director,Eric Meza,16097
Directing,0.0,1223.0,Director,Joel Coen,11934
Directing,2.0,3388.0,Director,James L. Brooks,106143
Directing,2.0,774.0,Director,"Daniel Petrie, Jr.",12475
Directing,2.0,5231.0,Director,Wolfgang Petersen,9386
Directing,2.0,53334.0,Director,Jim Sheridan,7984
Directing,2.0,230059.0,Director,Matty Rich,59930
Directing,2.0,18069.0,Director,Brian Gibson,15765
Directing,2.0,8246.0,Director,Barry Levinson,31643
Directing,2.0,2042.0,Director,Stephen Hopkins,6
Directing,2.0,488.0,Director,Steven Spielberg,329
Directing,2.0,58498.0,Director,Dominic Sena,10909
Directing,2.0,8297.0,Director,Roger Avary,507
Directing,2.0,1884.0,Director,Steven Soderbergh,34024
Directing,2.0,40549.0,Director,Daniel Petrie,29918
Directing,2.0,1090.0,Director,John McTiernan,9593
Directing,2.0,90037.0,Director,James Lapine,42580
Directing,0.0,18254.0,Director,Simon Wincer,22317
Directing,2.0,57147.0,Director,Paul Hogan,22317
Directing,2.0,71192.0,Director,Greg Coote,22317
Directing,2.0,224.0,Director,David Cronenberg,1413
Directing,2.0,24318.0,Director,Richard Benjamin,12121
Directing,2.0,23213.0,Director,Harold Becker,2246
Directing,2.0,2461.0,Director,Mel Gibson,10502
Directing,2.0,1243.0,Director,Woody Allen,10440
Directing,2.0,11447.0,Director,Albert Hughes,9516
Directing,2.0,11448.0,Director,Allen Hughes,9516
Directing,2.0,2523.0,Director,Stuart Baird,2320
Directing,2.0,46230.0,Director,Nagisa Ōshima,5879
